2025-11-06 00:47:53 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=1&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:54 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=1&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:54 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=2&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=2&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=3&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=3&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=4&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=4&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=5&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=5&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=6&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=6&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=7&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=7&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=8&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=8&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=9&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=9&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=10&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=10&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=11&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=11&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=12&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=12&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=13&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=13&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=14&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:59 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=14&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:59 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=15&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:47:59 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=15&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:47:59 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=16&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:02 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=16&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:06 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=17&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:09 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=17&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:12 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=18&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:15 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=18&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:19 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=19&year=2024&ended=true; {'allow_redirects': True}
