match_id,sport,status,dateEvent,startTimestamp,tournament_id,tournament_name,category_id,category_name,season_id,season_name,venue_name,venue_city_name,venue_country_name,homeTeam_id,homeTeam_name,awayTeam_id,awayTeam_name,homeScore_current,awayScore_current
14156559,ice-hockey,finished,2025-11-03,1762117200000,844,AHL,37,USA,78213.0,AHL 25/26,,,,45159,Chicago Wolves,45178,Toronto Marlies,2,4
14156563,ice-hockey,finished,2025-11-03,1762117200000,844,AHL,37,USA,78213.0,AHL 25/26,,,,45160,Grand Rapids Griffins,45174,Rockford Icehogs,6,2
14156562,ice-hockey,finished,2025-11-03,1762117200000,844,AHL,37,USA,78213.0,AHL 25/26,,,,45164,Iowa Wild,45176,Tucson Roadrunners,5,4
14071650,ice-hockey,finished,2025-11-03,1762117200000,9475,WHL,176,Canada,77491.0,WHL 25/26,,,,232724,Edmonton Oil Kings,232727,Swift Current Broncos,8,4
14877569,ice-hockey,finished,2025-11-03,1762117500000,17188,ECHL,37,USA,76854.0,ECHL 25/26,,,,331869,Tulsa Oilers,331871,Wichita Thunder,3,1
14213186,ice-hockey,finished,2025-11-03,1762117500000,1454,OHL,176,Canada,77004.0,OHL 25/26,,,,119586,Kingston Frontenacs,119590,London Knights,1,6
14213188,ice-hockey,finished,2025-11-03,1762117500000,1454,OHL,176,Canada,77004.0,OHL 25/26,,,,119616,Windsor Spitfires,119606,Flint Firebirds,5,2
14877570,ice-hockey,finished,2025-11-03,1762117800000,17188,ECHL,37,USA,76854.0,ECHL 25/26,,,,331960,Wheeling Nailers,331865,Norfolk Admirals,3,2
14200828,ice-hockey,finished,2025-11-03,1762120800000,234,NHL,37,USA,78476.0,NHL 25/26,UBS Arena,"Elmont, NY",USA,3703,New York Islanders,3683,Columbus Blue Jackets,3,2
14835943,ice-hockey,finished,2025-11-03,1762120800000,14285,NCAA Men,37,USA,84239.0,"NCAA, Regular Season 25/26",,,,269302,Dartmouth Big Green,216763,Yale Bulldogs,6,1
14071606,ice-hockey,finished,2025-11-03,1762120800000,9475,WHL,176,Canada,77491.0,WHL 25/26,,,,232718,Brandon Wheat Kings,232721,Calgary Hitmen,1,3
14071860,ice-hockey,finished,2025-11-03,1762121100000,9475,WHL,176,Canada,77491.0,WHL 25/26,,,,232731,Victoria Royals,1102378,Penticton Vees,4,3
14213192,ice-hockey,finished,2025-11-03,1762122600000,1454,OHL,176,Canada,77004.0,OHL 25/26,,,,119608,Saginaw Spirit,204210,Brantford Bulldogs,2,6
14071651,ice-hockey,finished,2025-11-03,1762124400000,9475,WHL,176,Canada,77491.0,WHL 25/26,,,,232726,Medicine Hat Tigers,232884,Tri-City Americans,3,4
14213196,ice-hockey,finished,2025-11-03,1762124700000,1454,OHL,176,Canada,77004.0,OHL 25/26,,,,119598,Oshawa Generals,119600,Ottawa 67's,0,3
14200827,ice-hockey,finished,2025-11-03,1762128000000,234,NHL,37,USA,78476.0,NHL 25/26,Wells Fargo Center,Philadelphia,USA,3699,Philadelphia Flyers,3679,Calgary Flames,1,2
14156567,ice-hockey,finished,2025-11-03,1762128000000,844,AHL,37,USA,78213.0,AHL 25/26,,,,388667,Abbotsford Canucks,374579,Henderson Silver Knights,3,7
14071862,ice-hockey,finished,2025-11-03,1762128000000,9475,WHL,176,Canada,77491.0,WHL 25/26,,,,232733,Vancouver Giants,232732,Prince George Cougars,2,1
14071863,ice-hockey,finished,2025-11-03,1762128000000,9475,WHL,176,Canada,77491.0,WHL 25/26,,,,232722,Wenatchee Wild,232729,Kamloops Blazers,2,6
14200829,ice-hockey,finished,2025-11-03,1762131600000,234,NHL,37,USA,78476.0,NHL 25/26,Honda Center,Anaheim,USA,3675,Anaheim Ducks,3704,New Jersey Devils,4,1
14200833,ice-hockey,finished,2025-11-03,1762131600000,234,NHL,37,USA,78476.0,NHL 25/26,SAP Center at San Jose,San Jose,USA,3696,San Jose Sharks,3685,Detroit Red Wings,2,3
14156564,ice-hockey,finished,2025-11-03,1762131600000,844,AHL,37,USA,78213.0,AHL 25/26,,,,45169,San Diego Gulls,292497,Colorado Eagles,1,3
14221082,ice-hockey,finished,2025-11-03,1762149600000,1141,VHL,101,Russia,78633.0,VHL 25/26,,,,3935,Metallurg Novokuznetsk,78183,Izhstal Izhevsk,1,3
14375215,ice-hockey,finished,2025-11-03,1762153200000,1159,MHL,101,Russia,79945.0,MHL 25/26,,,,231417,HC Taifun U20,79773,SKA-1946 U20,2,6
14375210,ice-hockey,finished,2025-11-03,1762156800000,1159,MHL,101,Russia,79945.0,MHL 25/26,,,,79729,Belye Medvedi U20,170780,Irbis Kazan U20,0,4
14375209,ice-hockey,finished,2025-11-03,1762156800000,1159,MHL,101,Russia,79945.0,MHL 25/26,,,,79727,Avto Yekaterinburg U20,79733,Chaika Nizhny Novgorod U20,1,0
14221083,ice-hockey,finished,2025-11-03,1762156800000,1141,VHL,101,Russia,78633.0,VHL 25/26,,,,550444,Magnitka Magnitogorsk,43853,Ugra Khanty-Mansiysk,4,1
14221081,ice-hockey,finished,2025-11-03,1762156800000,1141,VHL,101,Russia,78633.0,VHL 25/26,,,,78197,Yuzhny Ural Orsk,55171,Rubin Tyumen,1,2
14375211,ice-hockey,finished,2025-11-03,1762164000000,1159,MHL,101,Russia,79945.0,MHL 25/26,,,,79765,Krasnaya Armiya U20,231565,Krylya Sovetov Moscow U20,1,2
14375213,ice-hockey,finished,2025-11-03,1762164000000,1159,MHL,101,Russia,79945.0,MHL 25/26,,,,79755,Mytishchinskie Atlanty U20,79723,Almaz Cherepovets U20,1,2
14375212,ice-hockey,postponed,2025-11-03,1762164000000,1159,MHL,101,Russia,79945.0,MHL 25/26,,,,79753,Spartak Moscow U20,1114920,Spartak MAH Moscow U20,0,0
14221080,ice-hockey,finished,2025-11-03,1762164000000,1141,VHL,101,Russia,78633.0,VHL 25/26,,,,272309,Dynamo-Altay Barnaul,78195,Toros Neftekamsk,1,4
14221085,ice-hockey,finished,2025-11-03,1762164000000,1141,VHL,101,Russia,78633.0,VHL 25/26,,,,78181,SKA-VMF St. Petersburg,78177,Ryazan,5,2
14375214,ice-hockey,finished,2025-11-03,1762167600000,1159,MHL,101,Russia,79945.0,MHL 25/26,,,,231415,Sputnik Almetyevsk U20,425430,Krasnoyarskie Rysi U20,2,1
14141915,ice-hockey,finished,2025-11-03,1762169400000,268,KHL,101,Russia,77998.0,KHL 25/26,Arena Metallurg,Magnitogorsk,Russia,3938,Metallurg Magnitogorsk,227963,Shanghai Dragons,6,1
14221086,ice-hockey,finished,2025-11-03,1762178400000,1141,VHL,101,Russia,78633.0,VHL 25/26,,,,231650,Dinamo St. Petersburg,390342,AKM Tula,5,3
14597295,ice-hockey,finished,2025-11-03,1762178400000,14099,Vysshaya League,1013,Kazakhstan,81900.0,Pro Hockey League 25/26,,,,273493,HC Kulager Petropavlsk,262851,Rudny Gornyak,2,4
14141917,ice-hockey,finished,2025-11-03,1762180200000,268,KHL,101,Russia,77998.0,KHL 25/26,Barys Arena,Astana,Kazakhstan,24985,Barys Astana,3951,Neftekhimik Nizhnekamsk,2,5
14141914,ice-hockey,finished,2025-11-03,1762186200000,268,KHL,101,Russia,77998.0,KHL 25/26,Minsk-Arena,Minsk,Belarus,24983,Dinamo Minsk,3946,CSKA Moscow,2,0
14977820,ice-hockey,finished,2025-11-03,1762192800000,30576,University League,42,Czech Republic,85422.0,University League 25/26,,,,1140438,United Hradec Kralove,1140433,Vse Falcons Prague,4,2
14936119,esports,finished,2025-11-03,1762135200000,16163,IEM,1572,Counter Strike,85013.0,Chengdu 2025,,,,366215,TYLOO,409766,Team Falcons,0,2
14936139,esports,finished,2025-11-03,1762135200000,16163,IEM,1572,Counter Strike,85013.0,Chengdu 2025,,,,364252,FURIA,364370,Lynn Vision,2,0
14936138,esports,finished,2025-11-03,1762144200000,16163,IEM,1572,Counter Strike,85013.0,Chengdu 2025,,,,365248,MOUZ,364396,FaZe,2,0
14936144,esports,finished,2025-11-03,1762144200000,16163,IEM,1572,Counter Strike,85013.0,Chengdu 2025,,,,364399,Vitality,364227,Virtus.pro,2,1
14936120,esports,finished,2025-11-03,1762153200000,16163,IEM,1572,Counter Strike,85013.0,Chengdu 2025,,,,366522,TheMongolz,364395,Heroic,2,1
